大会,予選,問題番号,問題,正解,補足
11,東北,11,紛らわしい言葉「ビードロ」と「ビロード」。ともにもともとは同じ国の言葉である。,○,
11,東北,12,「日付変更線」のことを、英語では「ザ･デート･ライン」という。,○,
11,東北,13,かつて、お札の肖像になったあの聖徳太子は、過去には１万円札と５千円札にしか登場したことが無い。,×,
11,東北,14,「コツをつかむ」などというときの「コツ」は、漢字で「骨」と書く。,○,
11,東北,15,プレハブ住宅の「ハブ」とは、英語の「持つ（have）」のことである。,×,
11,東北,16,留守の家を狙って入る「アキス」は、もともとから担った鳥の巣のことを差した言葉である。,○,
11,北陸,1,海を見ろ！今、君達が見ている水平線の距離は、１０キロメートルよりも短い。,○,
11,北陸,2,高速道路の総延長がもっとも長い都道府県は、新潟県である。,○,
11,北陸,3,米で作る「せんべい」はあるが、小麦粉で作る「せんべい」はない。,×,
11,北陸,4,海で取れるコンブは、水中で花を咲かせる。,×,
11,北陸,5,海外に出す「エアメール」。航空便の封筒は、青と赤の縁取りがなくてもかまわない。,×,
11,北陸,6,４７都道府県をローマ字で書いたとき、頭文字にもっとも多く出てくるのは「T」である。,×,
11,北陸,7,卓球の別名「ピンポン」は、ボールを打ったときのピンポンという音からその名がつけられた。,○,
11,北陸,8,仕事率の単位「馬力」。英語では「ホース・パワー」という。,○,
11,北陸,9,日本で１番多く取れる野菜は「ダイコン」ですが、１９９０年、もっとも多く輸入した野菜は「カボチャ」である。,○,
11,北陸,10,小鳥には「ホオジロ」もいるが、「ホオアカ」もいる。,○,
11,北陸,11,日本の郵便制度が発足して１２０年ですが、電話やＦＡＸの普及により郵便物は年々減少している。,×,
11,北陸,12,牛肉に「霜降り」がありますが、豚肉にも「霜降り」はある。,○,
11,北陸,13,国会議員の定数。衆議院は参議院のちょうど二倍である。,×,
11,北陸,14,水道の水には、飲み水用の「上水」と排水用の「下水」の他に「中水」というものもある。,○,
11,北陸,15,男子の体操器具「平行棒」は「鉄棒」をもとに考え出された。,×,
11,北陸,16,日本全国の「国立公園」と「国定公園」。総面積が広いのは「国立公園」のほうである。,○,
11,北海道,1,日本一広い北海道の面積は、全国４７都道府県の面積の小さい２０県が束になってもかなわない広さである。,○,
11,北海道,2,近代オリンピック夏の大会がもっとも北で開かれたのは、モスクワ大会である。,×,
11,北海道,3,ソ連のゴルバチョフ大統領とロシア共和国のエリツィン大統領は同じ年である。,○,
11,北海道,4,「しもやけ」も「凍傷」である。,×,
11,北海道,5,ポテトチップの「チップ」は、お礼として「チップ」をイモで渡したことに由来している。,×,
11,北海道,6,「金魚」はコイを改良して作ったものである。,×,
11,北海道,7,木にぶらさがって生活するナマケモノは、体の毛もおなかから背中に向かって生えている。,○,
11,北海道,8,確かなものを「折り紙つき」といいますが、この折り紙とは「鑑定書」のことである。,○,
11,北海道,9,「ごぼう抜き」というときの「ごぼう」とは、野菜のゴボウのことである。,○,
11,北海道,10,ニワトリの「ササミ」といいますが、これは植物の「笹の葉」の形をしていることから名付けられた。,○,
11,北海道,11,夜空を流れる『天の川』は、１年中日本で見ることができる。,○,
12,沖縄,1,「日本晴れ」。いわゆる快晴が１９９１年に日本一多かったのは、ここ沖縄県である。,×,
12,沖縄,2,天気予報で「今日」といったら、日の出から日没までのことである。,×,
12,沖縄,3,野菜のカボチャは、カンボジアが原産である。,×,
12,沖縄,4,こんがり焼いたトースト。もともとは「こがす」という意味である。,○,
12,沖縄,5,ラクダのコブは、年をとるとしぼむ。,×,
12,沖縄,6,天使の歌声「ウィーン少年合唱団」は、大人の声になってしまうと、退団しなければならない。,○,
12,沖縄,7,辞典『広辞苑』には、「広辞苑」という言葉が載っている。,×,
12,沖縄,8,チャップリンは『伯爵』という映画を作ったが、『伯爵夫人』という映画も作っている。,○,
12,沖縄,9,コーヒーはマメ科の植物である。,×,
12,沖縄,10,履物のスリッパは「スリッパー」、つまり、「すべるもの」という意味である。,○,
12,関東,1,アメリカ星条旗を地球の表面積と同じ大きさでつくり、できあがったその地球サイズの国旗に描かれた、星ひとつの面積と、日本の総面積を比べると、日本のほうが大きい。,○,
12,関東,2,東京、ロサンゼルス、オーランド、パリの順に夢の国ディズニーを一直線で結び、ミッキーマウスが新幹線「のぞみ」に乗って最高時速でそれぞれを訪ねて行くと、その日数は３日以上かかる。,○,
12,関東,3,病院で「診断書」を発行するように、気象台でもその日の天気を証明する「気象証明」を発行している。,○,
12,関東,4,寒い地方のヘビが冬眠するように、熱帯地方のヘビも「夏の眠り」、すなわち「夏眠」をする。,○,
12,関東,5,日本の選挙の投票日、法律で「休みの日」に行うと決まっている。,×,
12,関東,6,水道の水で作る氷より、沸騰させた水で作る氷のほうが、溶けにくい。,○,
12,関東,7,ミッキーマウスとドナルドダック。映画に出た回数が多いのは先輩ミッキーマウスのほうである。,×,
12,関東,8,「畳」はもともと折りたたみ式だったので、その名がついた。,○,
12,関東,9,魚の「タイ」。体が平たいのでその名がついた。,○,
12,関東,10,エンゼルフィッシュの「しま」は「縦じま」である。,×,
12,関東,11,ゴキブリも冬眠する。,○,
12,関東,12,苦労することを「骨を折る」というが、それ以上に苦労することを「大骨を折る」という。,○,
12,関東,13,赤ちゃんがする「おしめ」は、おしりを締めるの「しめる」から付けられた。,×,
12,九州,1,古代遣唐使の時代より、世界の玄関口となっている九州。その九州各県の県庁所在地は、いずれも中国の都市と友好都市の関係を結んでいる。,×,
12,九州,2,「１万円札」、通し番号１番は、福澤諭吉が創設した慶応大学に保存されている。,×,
12,九州,3,背広のエリにある穴。もともと、花をさすためのものであった。,○,
12,九州,4,ヘビは冬眠するが、ウミヘビも砂にもぐって冬眠する。,×,
12,九州,5,原子番号が同じで、質量数が違う元素を「同位体」というが、現在発見されている１０９すべての元素には「同位体」がある。,○,
12,九州,6,オーロラも、虹のように７色ある。,×,
12,九州,7,先進国首脳会議「サミット」が行われた都市。人口が１番多いのは、東京である。,○,
12,九州,8,トランプの「ババ抜き」で使うジョーカー。もちろん「オババ」、すなわち女性である。,×,
12,九州,9,海抜・標高の基準「日本水準原点」は、東京湾の海面に浮かんでいる。,×,
12,九州,10,気候の関係から、南半球ではオリンピックが開かれたことはない。,×,
12,九州,11,「東京タワー」と「エッフェル塔」。エッフェル塔のほうが重い。,○,
12,九州,12,エラで呼吸する魚に鼻はない。,×,
12,九州,13,ゴリラは、ベジタリアン、草食動物である。,○,
12,九州,14,貝を背負っていなければ、ヤドカリの仲間には入れない。,×,
12,九州,15,夜、活動するフクロウ。目は獲物を捕えやすいように１８０度動く。,×,
12,九州,16,「ジグザグに曲がる」などという「ジグザグ」は、れっきとした日本古来の言葉である。,×,
12,九州,17,「イモムシ」は、「イモ」の葉を食べることからその名がついた。,○,
12,九州,18,かん高い声を「黄色い声」というが、英語でも「イエローボイス」という。,×,
12,九州,19,ラッコは陸で眠るときにも、あおむけで眠る。,×,
12,近畿,1,世界の観光都市、京都！平成になってから1991年までに、ここ京都を訪れた外国人観光客の中で最も多いのは、君たちの目指す国から来たアメリカ人である。,○,
12,近畿,2,４７都道府県の中で、国宝が１番多いのは東京都だが、人間国宝が１番多いのも東京である。,○,
12,近畿,3,近畿ブロック２府４県の男女の平均寿命を比べると、最も長生きなのは歴史あるここ京都である。,○,
12,近畿,4,東大の地震研究所では、ナマズを飼って地震の研究をしている。,×,
12,近畿,5,甲子園球場で初めて行われたナイターは、伝統の阪神・巨人戦だった。,○,
12,近畿,6,デメキンは、生まれたときから目が飛び出ている。,○,
12,近畿,7,ふわふわと浮いている熱気球。「航空法」では、飛行機の一種に含まれている。,×,
12,近畿,8,ランの女王「カトレア」は、発見者カトレーさんにちなんで名付けられた。,○,
12,近畿,9,北極圏にある世界最大の島グリーンランドには、草は生えているが、木は生えていない。,×,
12,近畿,10,ヒラメとカレイ。分類上、同じ「科」の魚である。,×,
12,四国,1,今まで発見された小惑星には、「東京」と名付けられたものがあるが、ズバリ、「アメリカ」と名付けられた星もある。,○,
12,四国,2,邪魔なものを「目の上のたんこぶ」というが、邪魔な上に取りたくても取れないものを「鼻の先のいぼいぼ」という。,○,
12,四国,3,水の中にいる魚も、おいしいエサを見ると、ヨダレをたらす。,×,
12,四国,4,セミクジラの「セミ」とは、「背中が美しい」という意味である。,○,
12,四国,5,イヌも、ほうっておけば虫歯になる。,○,
12,四国,6,乗用車にサイレンを付けると、罪になるが、赤い「パト・ランプ」を付けても罪にはならない。,×,
12,四国,7,ヒトデは、その形から英語では「スター・フィッシュ」と呼ばれる。,○,
12,四国,8,現在、最も多く発行されている通常切手は、「６２円切手」だが、２番目は「４１円切手」である。,○,
12,四国,9,リカちゃん人形こと「葉山リカ」は、理科の勉強が得意である。,×,
12,四国,10,北町奉行の「遠山の金さん」こと遠山景元は、南町奉行にもなっている。,○,
12,中国,1,安芸の宮島・厳島神社は国宝の宝庫。では、「国宝」の指定を受けるには、日本のトップ、内閣総理大臣の現地視察が必要である。,×,
12,中国,2,日本の国鳥「キジ」を県の鳥に指定することはできない。,×,
12,中国,3,日本のお金！５０円玉、１００円玉、５００円玉。まったく同じ色をしているが、成分もまったく同じである。,○,
12,中国,4,一番星として見えるのは、常に金星のことである。,×,
12,中国,5,トイレのことを化粧室というが、化粧水のことを、英語で「toilet water」という。,○,
12,中国,6,シオカラトンボのメスを、アマカラトンボという。,×,
12,中国,7,台風が左巻きの南半球では、巻き貝も左巻きである。,×,
12,中国,8,漫画が動く「アニメーション」には、もともと「命を吹き込む」という意味がある。,○,
12,中国,9,植物で「タコの木」はあるが、「タコの足」もある。,○,
12,中国,10,クモが、巣にかかった虫を食べるときは、動かなくなってから食べる。,×,
12,中国,11,あの、ノーベルの名前がついた元素はあるが、アインシュタインも元素の名前になっている。,○,
12,中国,12,雲が浮かんでいるのは、空気より軽いからである。,×,
12,中国,13,「人生は山登りのようなものさ」といったフランスの作家、モーパッサンはエベレストに登ったことがある。,×,
12,中国,14,アサガオはアサガオ科の植物である。,×,
12,中国,15,名探偵シャーロック・ホームズ。助手のワトソン君は医者だが、作者のコナン・ドイルも医者である。,○,
12,中国,16,スズメバチの毒は、メスよりオスのほうが強い。,×,
12,中国,17,メキシコの国の花は、サボテンである。,×,
12,中国,18,世界的な青少年団体、「ボーイスカウト」。日本が加盟したのは、戦後になってからである。,×,
12,中国,19,「自由の女神」を管理しているのは、地元ニューヨーク州である。,×,
12,中国,20,８０００ｍ以上の山は、すべてヒマラヤ山脈にある。,×,
12,中国,21,顔が長い人を「馬面」というが、英語でも「ホースフェース」という。,○,
12,中部,1,夏の風物詩「鵜飼」。国家公務員である鵜匠（うしょう）が持つ鵜も、国有財産である。,×,
12,中部,2,イヌもネコのように爪を隠すことができる。,×,
12,中部,3,サルにも「耳たぶ」がある。,○,
12,中部,4,オリンピックの開催期間、冬の大会も夏の大会も、まったく同じ日数である。,○,
12,中部,5,走り幅跳び。助走は、どんなに長くてもかまわない。,○,
12,中部,6,妊娠している女性を「身重」というが、出産して体が軽くなった人を「身軽」という。,○,
12,中部,7,新体操のレオタード。美しさを増すために、ハイレグにしてもかまわない。,×,
12,中部,8,スケートの伊藤みどりの十八番「トリプル・アクセル」は、アクセルを踏むようにスピードが出るので、その名がついた。,×,
12,中部,9,「スズラン」も、ランの一種である。,×,
12,中部,10,「二つ返事」とは、「ハイハイ」と２度答えることである。,○,
12,中部,11,「水牛」がよく水浴びするのは、皮膚に、汗を出す汗腺がないためである。,×,
12,中部,12,太陽の黒点、英語でも「ＢＬＡＣＫ　ＰＯＩＮＴ」という。,×,
12,中部,13,カニは、死ぬまで、脱皮する。,○,
12,中部,14,聖徳太子ゆかりの法隆寺は、「聖徳宗」のお寺である。,○,
12,中部,15,現在、正式に「女王陛下」と呼ばれる人は、イギリスのエリザベス２世、ただ１人である。,×,
12,中部,16,ホタルはお尻だけが光るが、ホタルイカは全身が光る。,×,
12,中部,17,三毛猫を、英語で「three-colored cat」という。,×,
12,中部,18,睡眠中に見る夢は、年と共に少なくなっていく。,○,
12,中部,19,「虎の巻」より簡単な奥の手を「ネコの巻」という。,×,
12,東北,1,東北が生んだ青春文学のヒーロー！石川啄木、太宰治、石坂洋次郎。この３人は、いずれも故郷を舞台にした作品を書いている。,○,
12,東北,2,東北が生んだお札のヒーロー、新渡戸稲造！あの５千円札の通し番号１番は故郷岩手県に保存されている。,×,
12,東北,3,ボウリングのボール。指の穴は３つ以上あけても構わない。,○,
12,東北,4,１５０キロの豪速球。ピッチャーの指先もボールと同じ速さである。,○,
12,東北,5,ハチドリという鳥は、ハチのようにミツを吸って生きている。,○,
12,東北,6,ゾウの鼻。長～いのでにおいを嗅ぐことはできない。,×,
12,東北,7,寒～い南極にも温泉が湧いている。,○,
12,東北,8,三毛猫の毛をカミソリですっかり剃ってしまうと、三毛猫、トラ猫の判別ができなくなってしまう。,×,
12,東北,9,日本原産の犬「ちん」。漢字でも「珍しい」と書く。,×,
12,東北,10,一刻をあらそう警察官。非番のときにはポケットベルを持つように決められている。,×,
12,東北,11,お見事！というときに使う「天晴（あっぱれ）」。もともとは、雲ひとつない日本晴れという意味だった。,×,
12,東北,12,デカラケやアツラケがブームだが、テニスに使うラケットの面の大きさと重さ、共に制限はない。,×,
12,東北,13,雲は上昇気流がなくなると、落ちてくる。,○,
12,東北,14,綿は植物から採れるが、石綿も植物から採れる。,×,
12,東北,15,サメの歯はいつ抜けてもいいように、絶えず次の歯が用意されている。,○,
12,東北,16,高等学校と同じように、大学にも職員会議はある。,×,
12,東北,17,虫歯の原因となる細菌。「虫歯菌」というのがいる。,×,
12,東北,18,夏と冬！小倉百人一首でより多く歌われているのは、「夏」のほうである。,○,
12,東北,19,ゆり動かして遊ぶ「ブランコ」。英語では「スウィング」という。,○,
12,北陸,1,日本海と名付けたのはロシアだが、この海に面した国は、その名をすべて日本海と呼ぶ。,×,
12,北陸,2,ここは北陸、イカの産地！１９９１年に日本人が最も多く食べた魚介類は、やはりイカである。,○,
12,北陸,3,ハダカでやる相撲。俳句では夏の季語である。,×,
12,北陸,4,「つゆ草」は、梅雨の季節に花を咲かせるところから、その名がついた。,×,
12,北陸,5,デンキウナギも自分の電気で感電する。,×,
12,北陸,6,「ピサの斜塔」で実験したガリレオ・ガリレイは、ピサ大学の出身である。,○,
12,北陸,7,楽器の尺八は、穴が８個あいているので、その名がついた。,×,
12,北陸,8,夜空を飾る星座。水瓶座の他にコップ座というのもある。,○,
12,北陸,9,海にいる貝。プカプカ浮かんでいるものもいるが、スイスイ泳ぎ回っているものもいる。,○,
12,北陸,10,ハエが食べ物の上にとまるのは、足で味見をしているからである。,○,
12,北陸,11,薬の服用時間で「食間」とは、食事中に飲めということである。,×,
12,北陸,12,気象庁によれば、「風速」とはその日のうちで１番強い風のことをいう。,×,
12,北陸,13,南極に住むペンギン。卵は親が温めなくても凍らないようになっている。,×,
12,北陸,14,相手に同情することを「気の毒」というが、反対に、心の保養になることを「気の薬」という。,○,
12,北陸,15,魚のコイはアゴヒゲを切られると、方向音痴になってしまう。,×,
12,北陸,16,「九官鳥」は九官さんが日本につれてきたので、九官鳥と呼ばれるようになった。,○,
12,北海道,1,国連によれば、大自然のシンボル「国立公園」と「保護地域」を、世界一多く持つ国は、アメリカである。,×,
12,北海道,2,北極星は、日本のあらゆる地域から、１年中見ることができる。,○,
12,北海道,3,世界初の地下鉄。走っていたのは、モクモクと煙を吐く蒸気機関車だった。,○,
12,北海道,4,卓球のラケット。打ちやすければ、いくら大きくしても構わない。,○,
12,北海道,5,百の足と書く「ムカデ」。足の数が多いほど、速く走ることができる。,×,
12,北海道,6,ＯＤＡ、日本が海外に援助する総額を日本の総人口で割ると、１人あたり年間１万円以上出している。,×,
12,北海道,7,日本で初めて海外の都市と姉妹関係をもったのは、出島のある長崎である。,○,
12,北海道,8,「エビでタイを釣る」というコトバがあるが、本当にタイはエビで釣れる。,○,
12,北海道,9,黒い紙のように見える「のり」。英語では「ブラック・ペーパー」という。,×,
12,北海道,10,「のどもと過ぎれば熱さ忘れる」というが、ノドもとを過ぎると、熱さを感じる神経はない。,×,
13,沖縄,1,Jリーグ元年！男子は、高校在学中であってもプロサッカー選手になることができる。,○,
13,沖縄,2,最も海水浴場の数が多い都道府県は、ここ沖縄県である。,×,
13,沖縄,3,プロ野球キャンプのメッカ、ここ沖縄で公式戦が行なわれたことがある。,○,
13,沖縄,4,日本には、温泉のない都道府県は１つもない。,○,
13,沖縄,5,サンゴは、きれいな水なら淡水でも育つ。,×,
13,沖縄,6,映画『まあだだよ』のモデル、内田百聞の小説には、『もういいよ』というのがある。,×,
13,沖縄,7,ブラウン博士を発明したのは、ドイツの科学者、ブラウン博士である。,○,
13,関東,1,地球にゴ～ル！Jリーグ最多得点を誇る鹿島アントラーズのゴールを決めた全試合時間数だけ、国立競技場が地球の自転によって動く距離は、得点王ある震度の故郷サンパウロ－東京間を上回る。,○,
13,関東,2,日本の紙幣に描かれる肖像は、1人に1枚と決められている。,×,
13,関東,3,山の頂上にたとえて、主要先進国首脳会議を「サミット」というが、このサミットの準備をする人を「シェルパ」という。,○,
13,関東,4,ニワトリの卵、ヒナが育つにつれ重くなる。,×,
13,関東,5,「能ある鷹は爪を隠す」というが、本当にネコのように爪を隠すことがある。,×,
13,関東,6,世界一参加者の多いクイズとして、「高校生クイズ」はあの『ギネスブック』に掲載されている。,○,
13,関東,7,ダンプカーのダンプとは、積荷をドサッと落とす意味である。,○,
13,関東,8,「オジギソウ」の花言葉は「はじめまして」である。,×,
13,関東,9,百円玉のギザギザの数は、ちょうど100個である。,×,
13,関東,10,鳥も真夏になれば、汗をかく。,×,
13,関東,11,ネコ同士のケンカでも、ネコは手に汗を握る。,○,
13,関東,12,日本の人口を十二支で分けると、最も少ないのは「酉年」である。,×,
13,関東,13,ジーンズはアメリカ生まれである。,×,
13,関東,14,剣道の公式試合で、宮本武蔵のように二刀流を使ってもかまわない。,○,
13,関東,15,気象観測史上、台風が日本に上陸しなかった年もある。,○,
13,関東,16,タコの赤ちゃんは、生まれたときから吸盤を持っている。,○,
13,関東,17,音楽記号には、「強くもなく弱くもなく」という記号もある。,×,
13,関東,18,日本の人口！明治生まれと平成生まれでは、もはや、平成生まれのほうが多い。,○,
13,関東,19,白いアスパラガスとグリーンアスパラガスは、違う種類である。,×,
13,関東,20,野球のグローブの大きさに制限はない。,×,
13,関東,21,ミツバチの女王バチは、年をとると巣を出ていく。,○,
13,関東,22,習字の段をもっていなければ、大相撲の行司さんにはなれない。,×,
13,九州,1,歴代スペースシャトルの飛行日数をすべて合わせると、1年・365日を超える。,○,
13,九州,2,過去12年のスペースシャトルの歴史の中で、1年に2度、宇宙旅行をした人はいない。,×,
13,九州,3,広～い太平洋。地球の全陸地の面積より広い。,○,
13,九州,4,チューリップは、一度花が開いても、寒くなると閉じてしまう。,○,
13,九州,5,「ゴマを擂る」と同じように、誰にでもお世辞を言うことを「味噌を擂る」という。,○,
13,九州,6,ノーベル賞。受賞後研究結果が間違っていた場合、もちろん受賞は取り消される。,×,
13,九州,7,巌流島の決闘で知られる佐々木小次郎。剣の流派も巌流といった。,○,
13,九州,8,テニスは硬式、軟式があるが、卓球にもある。,○,
13,九州,9,オリンピックの選手宣誓は、必ず開催国の言葉を使わなければならないと決められている。,×,
13,九州,10,「惑星運動の三法則」で有名なケプラーは、副業に星占いをやっていた。,○,
13,九州,11,料理に使う包丁は、ホウテイさんの名がなまってホウチョウとなった。,○,
13,九州,12,郵便切手はあらかじめ、ノリの付いた紙に印刷する。,○,
13,九州,13,黒潮と親潮。暖流である黒潮のほうがしょっぱい。,○,
13,近畿,1,青春に待ったなし！高校生クイズには敗者復活戦があるが、夏の高校野球にもかつて敗者復活戦があった。,○,
13,近畿,2,花の咲かないコケにも、花言葉はある。,○,
13,近畿,3,飛べない鳥、キーウィの好物は、果物のキーウィである。,×,
13,近畿,4,作家、吉本ばななには、メロンというペンネームの姉がいる。,×,
13,近畿,5,日本の首都が大阪に移動しても、最高裁判所は東京に置くと決められている。,○,
13,近畿,6,英語で紫外線のことを「ウルトラ・ヴァイオレット」というが、赤外線は「ウルトラ・レッド」という。,×,
13,近畿,7,弥生式土器が発見されたのは、3月「弥生の月」だった。,○,
13,近畿,8,『好色一代男』を書いた井原西鶴は、『好色二代男』という作品も書いている。,○,
13,近畿,9,「異常気象」。英語では「アブノーマルウェザー」という。,○,
13,近畿,10,ウソという鳥はいるが、オオウソという鳥もいる。,×,
13,近畿,11,製図に使うケント紙は、ケントさんが発明した。,×,
13,近畿,12,「パンの木」という植物はあるが、「パンヤの木」もある。,○,
13,近畿,13,ことわざ「子供は風の子」の続きは「大人は火の子」である。,×,
13,近畿,14,「バリカン」という名は、バリバリ頭を刈ることから名付けられた。,×,
13,近畿,15,ノーベル賞。個人で同じ分野の賞を2回受賞することはできない。,×,
13,近畿,16,化粧品とは、人の体を美化し、魅力を増すものと法律で定められている。,○,
13,四国,1,若貴人気で盛り上がる大相撲！仕切りで場所中にまかれる四国の塩、これは単に土俵を清めるためである。,×,
13,四国,2,陸上競技の世界記録で、君達が生まれてから現在まで、まったく更新されていない記録もある。,○,
13,四国,3,日本で最初に作られた輪ゴムは、お札を束ねるためのものだった。,○,
13,四国,4,脇の下で計った体温と、口で計った体温。体温計は当然同じ温度を示す。,×,
13,四国,5,サザエさんのカツオ君、魔法使いのサリーちゃん、人形のリカちゃん。この3人はみんな同じ学年である。,○,
13,四国,6,イギリスでは女王の誕生日は、国民の祝日になっている。,×,
13,四国,7,野球の変化球シュートとサッカーのシュート。英語では同じつづりである。,○,
13,四国,8,水泳の自由形は途中で泳ぎ方を変えてもかまわない。,○,
13,四国,9,日本で最初の人工衛星は、国の花「さくら」と名付けられた。,×,
13,四国,10,鳥にカワセミ、ヤマセミはいるが、ウミセミもいる。,×,
13,四国,11,ハハコグサの仲間には、チチコグサという植物もある。,○,
13,四国,12,みにくいアヒルの子が白鳥だったように、アヒルと白鳥はまったく同じ科の鳥である。,○,
13,四国,13,お菓子のマシュマロは、形がマッシュルームに似ているので、その名が付いた。,×,
13,四国,14,日本のプロ野球。女性も入団できる。,○,
13,四国,15,マントヒヒは、姿がマントをかぶっているようなところから、その名がついた。,○,
13,四国,16,「人間国宝」。どんなに技が優れていても、還暦を超えないと認定されない。,×,
13,中国,1,君達の「希望」は勝利！「のぞみ」は日本一！1993年、広島までやってきた新幹線「のぞみ号」。では問題、かつて日本を走った列車の愛称に「希望」もあれば「のぞみ」もあった。,×,
13,中国,2,国宝は、台風や火災などで全部が壊れた場合、たとえ再建されても、国宝の指定を解除されることがある。,○,
13,中国,3,国会議員は、当選の回数によって、給料も上がる。,×,
13,中国,4,電車のシルバーシート。初めて設置されたのは敬老の日である。,○,
13,中国,5,もみじまんじゅうで有名な広島県！県の木はもちろん、モミジである。,○,
13,中国,6,神社の絵馬。願いがウマく叶うようにというゴロ合わせから、ウマの絵を描くようになった。,○,
13,中国,7,「くしゃみ」と「しゃっくり」の最長記録。『ギネスブック』によると、くしゃみのほうが長い。,×,
13,中国,8,ボストンバッグは、ボストン大学の学生達が使っていたことからその名が付いた。,○,
13,中国,9,六角形の鉛筆が初めて作られたのは、日本である。,×,
13,中国,10,ドジョウは、ヒゲを持つコイの仲間でもある。,○,
13,中国,11,「弘法も筆の誤り」。弘法大師が間違えたのは、自分の名前だった。,×,
13,中部,1,大恐竜時代到来！日本で「恐竜の化石」が発見された県は、フォッサマグナを境として、ここ名古屋を含む西のほうが多い。,○,
13,中部,2,Jリーグトップチームの全選手を出身地別に見ると、やはりサッカー王国・静岡県が最も多い。,○,
13,中部,3,日本初の記念切手は、郵便制度が開始された日を記念して、発行された。,×,
13,中部,4,地図で「北」を上にするのは、国際法で定められているからである。,×,
13,中部,5,オリンピック、夏・冬両方の大会が開かれた都市は、世界中に１つもない。,○,
13,中部,6,ハツカネズミは二十日で生まれるので、その名が付いた。,○,
13,中部,7,気が合わないことを「水と油」というが、英語でも「オイル・アンドウォーター」という。,○,
13,中部,8,「金の鯱」を英語では「ゴールデン・ドルフィン」という。,○,
13,中部,9,双子座の兄弟星、カストルとボルックスは双子というだけあって同じ明るさである。,×,
13,中部,10,日本を代表する清らかな水、環境庁が定める名水百選。1985年に誕生して以来、現在まで指定を外されたものは1ヵ所もない。,○,
13,中部,11,熱帯魚の「エンゼルフィッシュ」は、海水魚である。,×,
13,中部,12,プロ野球の名球会。昭和生まれでなければ入ることはできない。,○,
13,中部,13,お札の肖像画は、人間国宝をかかえる、文化庁がデザインしている。,×,
13,中部,14,柔道の位には「名人」というのがある。,×,
13,中部,15,海の底で生活するヒラメには、浮力調節の浮き袋がない。,×,
13,中部,16,モスクワの「赤の広場」の赤は、共産主義の意味から名付けられた。,×,
13,中部,17,博士号を持っていなければ、大学の教授になれない。,×,
13,東北,1,実は、日本で初めて行われたプロレスのリングは、丸だった。,×,
13,東北,2,国から一度与えられた勲章は、剥奪されることはない。,×,
13,東北,3,カエルは水を飲まない。,○,
13,東北,4,気象庁は、「晴れ」と「曇り」の境目になる雲の量を、いまだに見た目で決めている。,○,
13,東北,5,制限速度40kmの道路を自転車で時速40km以上出すとスピード違反になる。,×,
13,東北,6,ロバもシマウマもウマ科である。,○,
13,東北,7,英語でつゆ「梅雨」は「アプリコットレイン」である。,×,
13,北陸,1,北陸が生んだ巨人の星・松井秀喜選手のニックネームは「ゴジラ」だが、夜空に輝く星座にも「ゴジラ座」はある。,×,
13,北陸,2,「敬老の日」。昔は「としよりの日」と呼ばれていた。,○,
13,北陸,3,全国の県庁所在地は、すべて外国の都市と姉妹都市の関係を結んでいる。,×,
13,北陸,4,「万有引力」の発見者・ニュートンは、男女の引力には恵まれず、生涯独身だった。,○,
13,北陸,5,地獄の大王・エンマ様は、もともと天国の神様だった。,○,
13,北陸,6,「ファクシミリ」は、もともと「遠くに飛ばす」という意味である。,×,
13,北陸,7,「赤道ギニア」は、もちろん赤道直下の国である。,×,
13,北陸,8,フグは「河の豚」と書くが、本当に川に住むフグもいる。,○,
13,北陸,9,まな板は、もともと「なまもの」を切る「なま板」という名前だった。,×,
13,北陸,10,キリスト教にモーゼの十戒があるように、仏教にも１０の戒め「十戒」がある。,○,
13,北陸,11,図書券にも有効期限はある。,×,
13,北陸,12,南十字座はあるが、北十字座はない。,○,
13,北陸,13,町の生活環境にかかわる下水道。管理しているのは環境庁である。,×,
13,北陸,14,足にできる「魚の目」。医学用語でも「魚の目」という。,×,
13,北陸,15,女王バチと同じように、働きバチもすべてメスである。,○,
13,北海道,1,テレビ開局以来、日本で初めてテレビ中継されたスポーツは「国民栄誉賞・千代の富士」を生んだ大相撲である。,○,
13,北海道,2,巨人軍の長嶋監督。佐倉一高時代、もちろん甲子園出場を果たした。,×,
13,北海道,3,缶詰の「コーンビーフ」は、つなぎにトウモロコシの粉を混ぜたことからその名が付いた。,×,
13,北海道,4,気象衛星「ひまわり」は、夏に打ち上げたので、その名が付いた。,○,
13,北海道,5,午前・午後を表す「A.M」「P.M」は、もともと英語を略したものである。,×,
13,北海道,6,姉妹都市と同じように、夫婦都市というのもある。,○,
13,北海道,7,宇宙空間では、音波も電波も伝わらない。,×,
14,沖縄,1,赤道に近い沖縄県は、北海道よりも満潮・干潮の差が大きい。,○,
14,沖縄,2,月食は、満月のときにだけ起こる。,○,
14,沖縄,3,日本初の西洋式の灯台は、ここ沖縄県に建てられた。,×,
14,沖縄,4,西表島の「イリオモテボタル」は、お尻だけではなく体全体も光る。,○,
14,沖縄,5,魚の「穴子」は、その名の通り、穴にもぐって卵を産む。,×,
14,沖縄,6,留守番電話を発明したのは、オフィスの多い国に住むアメリカ人である。,×,
14,沖縄,7,カンガルーは、おなかの中にゴミがたまると逆立ちして払い落とす。,×,
14,沖縄,8,米の都道府県別生産高。1993年、沖縄県は全国最下位だった。,×,
